,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,MAN_COLLNAME,HIT_RUN,TOW_VEH,GVWRNAME,V_CONFIGNAME,CARGO_BTNAME,HAZ_INV,ROLLOVERNAME,DEFORMEDNAME,VTRAFWAYNAME,VNUM_LANNAME,VSPD_LIMNAME,VALIGNNAME,VPROFILENAME,VSURCONDNAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,LGT_CONDNAME,WEATHERNAME,FATALS,DRUNK_DR,INJ_SEV,INJ_SEVNAME
20619,Florida,122366,1,1,2,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Wet,Interstate,Rural,Interstate,Daylight,Cloudy,1,0,4,Fatal Injury (K)
20641,Florida,122383,1,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,1,Possible Injury (C)
20847,Florida,122476,1,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Flatbed,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
20883,Florida,122491,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,County Road,Rural,Major Collector,Daylight,Clear,2,0,0,No Apparent Injury (O)
20931,Florida,122518,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,25 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,0,4,Fatal Injury (K)
20934,Florida,122520,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Four lanes,65 MPH,Curve Left,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
20945,Florida,122523,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Curve Left,Level,Wet,County Road,Urban,Major Collector,Daylight,Cloudy,1,0,2,Suspected Minor Injury (B)
20986,Florida,122542,1,1,2,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Grain/ Chips/ Gravel,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,U.S. Highway,Rural,Minor Arterial,Dusk,Clear,1,0,4,Fatal Injury (K)
20987,Florida,122542,1,1,2,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Grain/ Chips/ Gravel,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,U.S. Highway,Rural,Minor Arterial,Dusk,Clear,1,0,1,Possible Injury (C)
21005,Florida,122549,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
21047,Florida,122573,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Concrete Mixer,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,45 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
21121,Florida,122610,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,County Road,Rural,Major Collector,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
21228,Florida,122660,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,County Road,Rural,Major Collector,Dawn,Clear,1,1,3,Suspected Serious Injury (A)
21260,Florida,122678,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,60 MPH,Straight,Downhill,Wet,Interstate,Rural,Interstate,Daylight,Rain,1,0,0,No Apparent Injury (O)
21273,Florida,122682,2,2,1,Angle,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Flatbed,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,60 MPH,Straight,Uphill,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
21276,Florida,122684,1,1,1,Not a Collision with Motor Vehicle In-Transport,1,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,70 MPH,Curve Left,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
21279,Florida,122686,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,1,Possible Injury (C)
21280,Florida,122686,1,2,2,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,1,Possible Injury (C)
21347,Florida,122720,2,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Hillcrest,Wet,Interstate,Rural,Interstate,Daylight,Rain,2,0,0,No Apparent Injury (O)
21358,Florida,122732,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,35 MPH,Straight,Level,Dry,Other,Rural,Local,Daylight,Clear,1,0,4,Fatal Injury (K)
21368,Florida,122737,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,70 MPH,Curve Left,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,1,4,Fatal Injury (K)
21372,Florida,122740,1,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Auto Transporter,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,60 MPH,Straight,Downhill,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
21377,Florida,122742,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,45 MPH,Straight,Level,Dry,County Road,Urban,Minor Arterial,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
21390,Florida,122749,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
21417,Florida,122758,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,2,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Curve Right,Uphill,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
21418,Florida,122759,1,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
21419,Florida,122759,2,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
21423,Florida,122760,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Curve Right,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
21466,Florida,122780,2,2,2,Front-to-Front,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Garbage/Refuse,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Local,Daylight,Clear,1,0,0,No Apparent Injury (O)
21467,Florida,122780,2,2,2,Front-to-Front,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Garbage/Refuse,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Local,Daylight,Clear,1,0,0,No Apparent Injury (O)
21513,Florida,122803,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Cargo Tank,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,45 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Local,Dark - Lighted,"Fog, Smog, Smoke",1,1,0,No Apparent Injury (O)
21536,Florida,122815,1,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
21565,Florida,122831,6,6,2,Front-to-Rear,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
21566,Florida,122831,6,6,2,Front-to-Rear,0,0,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Other,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
21584,Florida,122839,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
21629,Florida,122862,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Garbage/Refuse,1,No Rollover,No Damage,"Two-Way, Not Divided",Two lanes,25 MPH,Curve Left,Level,Dry,Other,Rural,Local,Dawn,Clear,1,0,0,No Apparent Injury (O)
21631,Florida,122863,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Four lanes,45 MPH,Straight,Level,Dry,Other,Rural,Major Collector,Daylight,Clear,1,1,0,No Apparent Injury (O)
21633,Florida,122864,2,4,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
21637,Florida,122866,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Divided, Unprotected Median",Four lanes,40 MPH,Straight,Level,Dry,State Highway,Urban,Minor Arterial,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
21652,Florida,122873,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,60 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
21677,Florida,122882,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Cargo Tank,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,45 MPH,Straight,Level,Dry,U.S. Highway,Rural,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
21692,Florida,122888,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
21707,Florida,122894,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,2,0,2,Suspected Minor Injury (B)
21873,Florida,122961,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,60 MPH,Straight,Level,Wet,State Highway,Urban,Minor Arterial,Daylight,Rain,1,0,0,No Apparent Injury (O)
21997,Florida,123034,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Divided, Unprotected Median",Three lanes,65 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
22107,Florida,123082,2,2,1,Rear-to-Side,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,2,No Rollover,No Damage,"Two-Way, Divided, Unprotected Median",Two lanes,60 MPH,Curve Right,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
22141,Florida,123095,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,40 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Arterial,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
22153,Florida,123100,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,35 MPH,Straight,Level,"Mud, Dirt or Gravel",Other,Rural,Local,Daylight,Clear,1,0,4,Fatal Injury (K)
22202,Georgia,130001,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Uphill,Wet,State Highway,Rural,Minor Arterial,Daylight,Rain,1,0,0,No Apparent Injury (O)
22223,Georgia,130010,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,60 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,0,4,Fatal Injury (K)
22231,Georgia,130017,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Minor Arterial,Dark - Not Lighted,Cloudy,1,0,0,No Apparent Injury (O)
22238,Georgia,130020,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Downhill,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
22299,Georgia,130052,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Minor Arterial,Daylight,Clear,1,0,0,No Apparent Injury (O)
22301,Georgia,130053,2,3,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Three lanes,35 MPH,Straight,Uphill,Dry,State Highway,Urban,Minor Arterial,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
22312,Georgia,130057,2,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,45 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
22317,Georgia,130058,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,55 MPH,Straight,Downhill,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
22393,Georgia,130094,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
22395,Georgia,130096,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,No Damage,"Two-Way, Divided, Unprotected Median",Four lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
22401,Georgia,130098,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Minor Arterial,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
22410,Georgia,130102,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Uphill,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
22425,Georgia,130109,1,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,45 MPH,Curve Right,Level,Dry,State Highway,Rural,Minor Arterial,Dark - Not Lighted,Clear,1,0,2,Suspected Minor Injury (B)
22431,Georgia,130113,2,2,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Curve Left,"Grade, Unknown Slope",Dry,Local Street - Municipality,Urban,Minor Arterial,Daylight,Clear,1,1,0,No Apparent Injury (O)
22438,Georgia,130118,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,2,Suspected Minor Injury (B)
22453,Georgia,130125,1,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Curve Right,Level,Dry,State Highway,Rural,Major Collector,Daylight,Clear,1,0,4,Fatal Injury (K)
22454,Georgia,130125,2,2,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Curve Left,Level,Dry,State Highway,Rural,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
22474,Georgia,130134,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,1,0,No Apparent Injury (O)
22500,Georgia,130144,2,2,2,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Garbage/Refuse,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,45 MPH,Straight,Level,Dry,County Road,Urban,Local,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
22501,Georgia,130144,2,2,2,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Garbage/Refuse,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,45 MPH,Straight,Level,Dry,County Road,Urban,Local,Daylight,Clear,1,0,3,Suspected Serious Injury (A)
22503,Georgia,130146,1,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Grain/ Chips/ Gravel,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,0,4,Fatal Injury (K)
22504,Georgia,130146,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Daylight,Clear,2,0,4,Fatal Injury (K)
22506,Georgia,130147,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Cargo Tank,2,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,55 MPH,Straight,Level,Wet,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Cloudy,1,0,2,Suspected Minor Injury (B)
22572,Georgia,130176,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Log,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
22577,Georgia,130178,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Four lanes,35 MPH,Straight,"Grade, Unknown Slope",Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
22583,Georgia,130181,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,No Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Wet,Local Street - Municipality,Urban,Principal Arterial - Other,Dark - Not Lighted,Rain,1,0,4,Fatal Injury (K)
22614,Georgia,130197,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Four lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
22623,Georgia,130202,1,3,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,0,2,Suspected Minor Injury (B)
22632,Georgia,130205,1,2,1,Front-to-Front,0,0,"26,001 lbs. or more",Truck Tractor (Bobtail),No Cargo Body Type,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Collector,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
22670,Georgia,130220,1,1,1,Not a Collision with Motor Vehicle In-Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,50 MPH,Straight,Uphill,Dry,U.S. Highway,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
